nodeID,xcoord,ycoord,nodeType,name
XWRKT00001,254,203,WRKT,Table1
XWRKT00002,254,245,WRKT,Table2
XWRKT00003,254,287,WRKT,Table3
XWRKT00004,254,441,WRKT,Table4
XWRKT00005,254,483,WRKT,Table5
XWRKT00006,254,525,WRKT,Table6
XWRKT00007,254,662,WRKT,Table7
XWRKT00008,254,704,WRKT,Table8
XWRKT00009,254,746,WRKT,Table9
XWRKT000010,254,788,WRKT,Table10
XWRKT000011,365,195,WRKT,Table11
XWRKT000012,444,195,WRKT,Table12
XWRKT000013,523,195,WRKT,Table13
XWRKT000014,602,195,WRKT,Table14
XWRKT000015,602,292,WRKT,Table15
XWRKT000016,523,292,WRKT,Table16
XWRKT000017,444,292,WRKT,Table17
XWRKT000018,365,292,WRKT,Table18
XWRKT000019,365,386,WRKT,Table19
XWRKT000020,444,386,WRKT,Table20
XWRKT000021,523,386,WRKT,Table21
XWRKT000022,602,386,WRKT,Table22
XWRKT000023,602,479,WRKT,Table23
XWRKT000024,523,479,WRKT,Table24
XWRKT000025,444,479,WRKT,Table25
XWRKT000026,365,479,WRKT,Table26
XWRKT000027,536,622,WRKT,Table27
XWRKT000028,582,622,WRKT,Table28
XWRKT000029,620,660,WRKT,Table29
XWRKT000030,620,702,WRKT,Table30
XWRKT000031,582,736,WRKT,Table31
XWRKT000032,536,736,WRKT,Table32
XWRKT000033,506,702,WRKT,Table33
XWRKT000034,506,660,WRKT,Table34
XWRKT000035,864,751,WRKT,Table35
XWRKT000036,913,795,WRKT,Table36
XWRKT000037,887,875,WRKT,Table37
XWRKT000038,890,978,WRKT,Table38
XWRKT000039,877,1098,WRKT,Table39
XWRKT000040,868,1184,WRKT,Table40
XWRKT000041,911,1228,WRKT,Table41